Position,Predicted Value
Ang Mo Kio,2005.3237
Bedok,2000.0593
Bishan,2105.306
Bukit Batok,1904.7275
Bukit Merah,2209.18
Bukit Panjang,1753.9364
Bukit Timah,1960.7544
Central,2378.7952
Choa Chu Kang,1814.4576
Clementi,2127.5596
Geylang,2030.9268
Hougang,1915.7822
Jurong East,2003.0962
Jurong West,1911.8292
Kallang/ Whampoa,2086.8408
Marine Parade,2110.9978
Pasir Ris,1869.2522
Punggol,2007.0261
Queenstown,2205.6763
Sembawang,1772.7152
Sengkang,1954.0651
Serangoon,2054.5835
Tampines,2020.9099
Toa Payoh,2071.269
Woodlands,1662.7495
Yishun,1863.2302
