,District_Ang Mo Kio,District_Bedok,District_Bishan,District_Bukit Batok,District_Bukit Merah,District_Bukit Panjang,District_Bukit Timah,District_Central,District_Choa Chu Kang,District_Clementi,District_Geylang,District_Hougang,District_Jurong East,District_Jurong West,District_Kallang/ Whampoa,District_Marine Parade,District_Pasir Ris,District_Punggol,District_Queenstown,District_Sembawang,District_Sengkang,District_Serangoon,District_Tampines,District_Toa Payoh,District_Woodlands,District_Yishun,RoomType_Executive,RoomType_Room3,RoomType_Room4,RoomType_Room5,GDP In Chained (2015) Dollars,Total Unemployment Rate,Total Demand,Total Domestic Demand,Government Securities - 2-Year Bond Yield
2787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.09493668632086477,0.691921043397386,-0.20621477566023608,0.2151746415887867,0.32907321075990253
4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.8067495835183371,3.354567384361611,-2.277288992221769,-1.365288676553589,-1.0539560526391156
1138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9293902420970468,1.4019600676545128,-0.7725241317512803,-0.3032173267619125,-0.7927171917748566
3798,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.9435243071531998,-0.7281570051168675,0.6189788575009999,-1.0365523063799746,1.5942888697275122
647,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0057380614969305,1.046940555525949,-0.966687339553924,-1.302070143827894,-0.4187870581088366
3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1127230135807502,-0.7281570051168675,1.4118119560284617,-0.3917232725778856,1.3689063241239903
646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0057380614969305,1.046940555525949,-0.966687339553924,-1.302070143827894,-0.4187870581088366
3558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.7104468952981522,-0.7281570051168675,0.24683270921259926,0.670348077213791,1.1486461070767175
3334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6187910378938325,-0.9056667611811494,-0.8534254683357152,0.27839317431448174,0.41103049993057444
1137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9293902420970468,1.4019600676545128,-0.7725241317512803,-0.3032173267619125,-0.7927171917748566
