,Rental_Price
2788,2700.0
4310,2150.0
1139,2730.0
3799,1600.0
647,1880.0
3961,2400.0
646,2200.0
3559,2400.0
3335,2000.0
1138,2600.0
2055,1700.0
2109,2400.0
416,2800.0
1734,2600.0
1984,2500.0
2637,2850.0
1282,2100.0
1159,2400.0
1901,2300.0
2258,2600.0
1631,1500.0
2036,2500.0
4261,1800.0
2376,3100.0
0,2300.0
4703,1900.0
1329,2200.0
2884,2100.0
3069,2630.0
2113,2700.0
36,3100.0
960,2250.0
2232,2000.0
4146,1700.0
2851,2630.0
2424,2000.0
1186,1750.0
3075,1900.0
4681,1650.0
2419,2500.0
225,2000.0
331,2200.0
3036,2650.0
2083,2000.0
2280,1800.0
2956,2800.0
502,2200.0
246,2100.0
2668,2500.0
4197,1600.0
2439,2300.0
749,2000.0
1273,2000.0
4470,1900.0
4347,1800.0
3054,3400.0
4328,1300.0
2774,2550.0
3786,1800.0
3154,2450.0
2495,2200.0
1764,2400.0
4735,1200.0
881,2300.0
634,1800.0
2913,1700.0
2755,1650.0
3797,2000.0
2849,2850.0
1694,2300.0
3704,1950.0
4598,2500.0
364,2100.0
1381,2000.0
2470,2400.0
1620,2200.0
2413,2300.0
2570,2200.0
4604,1400.0
368,2000.0
3744,2400.0
2348,2100.0
3803,1780.0
2386,1850.0
4306,1550.0
1776,1750.0
3861,2400.0
2062,2800.0
78,2600.0
4530,2150.0
3364,2100.0
3299,2400.0
3381,1950.0
2323,2000.0
3927,2000.0
1536,2050.0
204,2500.0
4571,1500.0
1951,2100.0
3888,2000.0
1384,2550.0
4341,2100.0
3719,2300.0
2640,2650.0
2708,2800.0
2015,1500.0
3995,2000.0
3639,2180.0
950,2000.0
1286,2100.0
1261,2500.0
3181,2900.0
3787,2250.0
3664,2200.0
4568,2000.0
1731,1750.0
3141,2150.0
888,2100.0
2566,2500.0
3242,2900.0
469,1650.0
62,3200.0
4715,1700.0
3687,1600.0
1080,2000.0
4437,1950.0
458,2200.0
1067,2600.0
1682,2200.0
2531,2200.0
1769,1800.0
536,2100.0
2265,2400.0
233,1900.0
3674,1750.0
1861,2400.0
4645,2000.0
1672,2050.0
3472,2200.0
37,2200.0
4440,1500.0
199,2430.0
1999,2050.0
2970,2480.0
1025,2200.0
981,1850.0
3034,2000.0
2912,3000.0
4622,1800.0
4012,1900.0
2183,2400.0
3596,2100.0
1511,1900.0
2501,2600.0
1084,2450.0
827,1650.0
258,2100.0
1637,1800.0
4205,1440.0
3938,1500.0
2604,2700.0
2090,1800.0
4424,1500.0
1142,1800.0
1864,2400.0
2437,2700.0
4378,1500.0
1850,2600.0
2859,2050.0
2902,2100.0
3066,2700.0
797,2100.0
2835,1700.0
2355,2400.0
1403,1900.0
2779,2000.0
2617,2150.0
2230,2500.0
1687,1400.0
1530,2000.0
3070,3000.0
2500,2420.0
1650,1700.0
3508,2250.0
1839,2000.0
2506,2700.0
4272,1900.0
814,1900.0
3321,2800.0
312,2330.0
3588,1900.0
2010,2300.0
4676,1200.0
4267,1850.0
2572,3200.0
1448,2000.0
1868,1650.0
1540,2250.0
768,2000.0
1539,1800.0
2811,2500.0
304,2450.0
4231,2000.0
2507,2000.0
2898,2400.0
3644,2700.0
4201,2000.0
2905,2900.0
3611,2600.0
3259,2000.0
747,2500.0
4342,2500.0
2750,2600.0
1931,2600.0
2334,2400.0
750,2100.0
792,2200.0
889,2200.0
1594,1900.0
847,1900.0
3627,2300.0
1191,2000.0
1846,2200.0
2467,2750.0
4289,1400.0
3090,2800.0
3401,2000.0
1882,1800.0
790,1800.0
2005,2300.0
4145,1450.0
3108,2800.0
2372,1850.0
4582,1300.0
658,1800.0
2204,3000.0
1231,1800.0
4610,1730.0
453,1900.0
3965,2000.0
2009,2100.0
1431,2000.0
3199,2430.0
1500,2000.0
3193,2600.0
2731,2500.0
4111,1600.0
4220,1400.0
3286,2100.0
3327,2700.0
2819,2250.0
1193,2390.0
2490,2200.0
2962,2800.0
1916,1800.0
2936,1800.0
1178,2600.0
2684,2000.0
3205,2900.0
4059,1700.0
842,1800.0
60,3000.0
1953,2450.0
2953,2800.0
2959,2630.0
332,2100.0
26,3200.0
718,1750.0
1967,2000.0
3700,2100.0
2257,2400.0
3267,2700.0
4221,1730.0
1374,2000.0
1007,1900.0
2599,2450.0
3161,2700.0
3410,1800.0
221,2700.0
461,2500.0
726,2500.0
273,2460.0
3589,2300.0
4187,1500.0
3144,2940.0
2601,2000.0
4473,2000.0
542,2350.0
3467,2950.0
1110,2200.0
209,2200.0
2945,2700.0
3220,2600.0
3887,1850.0
2798,2500.0
3004,2750.0
1123,1700.0
944,1800.0
3494,1800.0
4770,1500.0
420,2200.0
730,2000.0
4448,1600.0
1358,2400.0
4561,1800.0
2650,2650.0
425,2400.0
1597,2200.0
1382,2100.0
2114,3000.0
1162,2230.0
3924,1400.0
891,2500.0
3755,2500.0
146,3200.0
1900,2150.0
3765,2100.0
1625,2000.0
677,2100.0
210,2400.0
262,2500.0
2169,1850.0
2119,2050.0
2592,2200.0
742,1900.0
1867,2500.0
2869,3000.0
4405,1800.0
1555,1750.0
1435,1700.0
1226,2150.0
1124,2100.0
3731,2000.0
4759,1500.0
376,2300.0
1732,2100.0
4709,1600.0
538,2050.0
3741,2200.0
1255,2000.0
2423,2700.0
2438,1950.0
1841,2300.0
1220,2500.0
1754,2100.0
1292,2200.0
1844,1700.0
2465,2000.0
289,2100.0
1564,1600.0
4425,2200.0
1120,1800.0
4018,1500.0
2769,2100.0
706,2300.0
705,2100.0
189,2350.0
3271,2450.0
758,1900.0
3671,2000.0
1966,2180.0
1851,1480.0
3584,2500.0
3303,2000.0
556,2150.0
586,2650.0
4584,1800.0
650,1700.0
2907,2450.0
4299,2000.0
1719,2000.0
3353,2900.0
2836,2000.0
3326,2600.0
2105,2300.0
743,2400.0
1720,2100.0
1342,1900.0
1906,1900.0
822,2350.0
510,2000.0
3485,2700.0
4670,1700.0
4041,1750.0
1347,2000.0
4323,1900.0
2882,2680.0
387,2000.0
3130,3000.0
2899,2300.0
1222,1500.0
1108,1750.0
2822,2350.0
1399,1800.0
4754,1800.0
1740,2400.0
3875,1700.0
905,2300.0
2238,2350.0
1380,1900.0
4274,1500.0
4194,1700.0
3829,2200.0
4602,1550.0
4554,2000.0
2292,2880.0
2580,2400.0
1251,2600.0
592,2200.0
2564,2400.0
4216,1600.0
1000,2400.0
1208,1700.0
3399,2300.0
215,2100.0
429,2200.0
4395,1800.0
911,1700.0
3566,2400.0
1338,2200.0
355,2000.0
2178,2400.0
4247,1600.0
4366,1940.0
426,2860.0
617,2100.0
990,2330.0
38,2900.0
3128,2500.0
203,2330.0
2939,2450.0
3915,1520.0
1305,1700.0
3363,2650.0
1297,1600.0
4110,1900.0
198,2200.0
2245,2000.0
2056,2100.0
4607,1600.0
