Year,Quarter,District,Room3,Room4,Room5,Executive
2022,4,Ang Mo Kio,2300,2900,3150,
2022,4,Bedok,2300,2800,3000,
2022,4,Bishan,2600,3200,3550,
2022,4,Bukit Batok,2200,2650,3200,
2022,4,Bukit Merah,2600,3500,3800,
2022,4,Bukit Panjang,2700,2850,3000,3250
2022,4,Bukit Timah,,,,
2022,4,Central,2800,3850,,
2022,4,Choa Chu Kang,2800,2800,3000,3000
2022,4,Clementi,2500,3200,3400,
2022,4,Geylang,2350,3000,,
2022,4,Hougang,2300,2750,2700,3000
2022,4,Jurong East,2500,2900,3100,
2022,4,Jurong West,2200,2900,3030,
2022,4,Kallang/ Whampoa,2450,3100,3700,
2022,4,Marine Parade,2400,3350,,
2022,4,Pasir Ris,,2700,3000,3300
2022,4,Punggol,2850,3000,3100,
2022,4,Queenstown,2730,3600,4200,
2022,4,Sembawang,,3000,2870,3000
2022,4,Sengkang,2550,3000,3100,3000
2022,4,Serangoon,2500,3200,2800,
2022,4,Tampines,2500,2800,3200,
2022,4,Toa Payoh,2400,3450,3200,
2022,4,Woodlands,2200,2650,3100,2900
2022,4,Yishun,2400,2800,3150,
2022,3,Ang Mo Kio,2290,2600,3000,
2022,3,Bedok,2200,2500,2980,
2022,3,Bishan,2400,2730,3300,
2022,3,Bukit Batok,2000,2500,2800,
2022,3,Bukit Merah,2400,3000,3450,
2022,3,Bukit Panjang,2000,2550,2600,
2022,3,Bukit Timah,,,,
2022,3,Central,2600,3500,,
2022,3,Choa Chu Kang,,2600,2500,3000
2022,3,Clementi,2350,3100,3500,
2022,3,Geylang,2200,2600,3200,
2022,3,Hougang,2200,2600,2500,2700
2022,3,Jurong East,2200,2800,2900,
2022,3,Jurong West,2150,2600,2800,2600
2022,3,Kallang/ Whampoa,2300,2900,3200,
2022,3,Marine Parade,2300,2650,,
2022,3,Pasir Ris,,2500,2700,3000
2022,3,Punggol,2750,2800,2800,
2022,3,Queenstown,2500,3450,3600,
2022,3,Sembawang,,2450,2400,3150
2022,3,Sengkang,,2700,2800,2800
2022,3,Serangoon,2300,2750,2850,
2022,3,Tampines,2300,2500,2900,2930
2022,3,Toa Payoh,2200,2800,3200,
2022,3,Woodlands,2000,2500,2600,2800
2022,3,Yishun,2100,2500,2500,
2022,2,Ang Mo Kio,2000,2400,2650,
2022,2,Bedok,2000,2400,2600,
2022,2,Bishan,2200,2600,2800,
2022,2,Bukit Batok,1900,2400,2450,
2022,2,Bukit Merah,2200,2900,3000,
2022,2,Bukit Panjang,1700,2300,2500,
2022,2,Bukit Timah,,,,
2022,2,Central,2350,3050,,
2022,2,Choa Chu Kang,2050,2200,2450,2650
2022,2,Clementi,2200,2700,2870,
2022,2,Geylang,1950,2400,2700,
2022,2,Hougang,1900,2200,2500,2630
2022,2,Jurong East,2000,2350,2750,
2022,2,Jurong West,1930,2400,2500,2700
2022,2,Kallang/ Whampoa,2130,2700,2950,
2022,2,Marine Parade,2200,2430,,
2022,2,Pasir Ris,,2300,2400,2780
2022,2,Punggol,2330,2500,2300,
2022,2,Queenstown,2300,2900,3200,
2022,2,Sembawang,,2200,2400,2250
2022,2,Sengkang,,2300,2400,2500
2022,2,Serangoon,2100,2500,2700,
2022,2,Tampines,2150,2350,2500,2700
2022,2,Toa Payoh,2000,2600,2850,
2022,2,Woodlands,2000,2300,2400,2500
2022,2,Yishun,1950,2250,2400,2400
2022,1,Ang Mo Kio,1900,2350,2600,
2022,1,Bedok,1900,2200,2500,2550
2022,1,Bishan,2130,2500,2700,
2022,1,Bukit Batok,1900,2100,2600,
2022,1,Bukit Merah,2100,2800,3000,
2022,1,Bukit Panjang,1700,2100,2400,
2022,1,Bukit Timah,,,,
