Time,GDP In Chained (2015) Dollars,Total Unemployment Rate,Resident Unemployment Rate,CPI/Inflation,Total Demand,Total Domestic Demand,Government Securities - 5-Year Bond Yield,Government Securities - 2-Year Bond Yield,Government Securities - 10-Year Bond Yield
2022 4Q ,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
2022 3Q ,130721.7,2,2.9,109.679,3.1,2.8,2.556666667,2.353333333,2.82
2022 2Q ,129752.2,2.6,3.8,107.605,2.4,7.5,2.626666667,2.223333333,2.866666667
2022 1Q ,129229.4,2,2.8,105.514,-0.8,2.4,2.436666667,1.953333333,2.766666667
2021 4Q ,129595.9,2.1,2.9,103.783,10.5,5.6,1.623333333,1.146666667,2.293333333
2021 3Q ,125666.5,2.5,3.4,102.187,11.9,12.1,2.36,1.153333333,3.18
2021 2Q ,124181.1,3.4,4.9,101.608,20.4,24.3,2.2,1.28,3.203333333
2021 1Q ,124220.9,2.6,3.7,100.898,3,-0.6,1.65,0.986666667,2.43
2020 4Q ,121524.4,2.8,3.8,100.095,-1.5,-6.2,1.3,0.673333333,2.053333333
2020 3Q ,115617.4,3.2,4.4,99.708,-3.4,-10.8,1.36,0.51,2.413333333
2020 2Q ,105891.7,3.8,5.5,99.331,-10.4,-21.7,1.356666667,0.523333333,2.443333333
2020 1Q ,119543.2,2.2,3.2,100.139,5.6,0,1.306666667,0.583333333,2.56
2019 4Q ,122234.8,2,2.8,100.21,2.8,0.3,1.28,0.586666667,2.686666667
2019 3Q ,120846,2,2.9,99.981,-0.3,1.5,0.916666667,0.456666667,2.61
2019 2Q ,120214.7,3,4.4,100.039,-0.3,1.7,0.716666667,0.43,1.986666667
2019 1Q ,118059.1,2,2.9,99.771,0.6,4.1,1.156666667,0.46,2.326666667
2018 4Q ,120529.1,1.9,2.7,99.581,2,-1.2,1.166666667,0.46,2.55
2018 3Q ,119714.3,1.9,2.6,99.63,5.7,1.3,1.076666667,0.45,2.37
2018 2Q ,118543.6,2.7,4.1,99.262,7.7,1.7,0.54,0.18,1.76
2018 1Q ,116243.7,1.9,2.7,99.278,8.3,3.1,0.59,0.276666667,1.686666667
2017 4Q ,118610.4,1.8,2.6,99.099,7.5,5.3,0.583333333,0.243333333,1.56
2017 3Q ,115995.8,1.9,2.8,98.939,8.1,9,0.503333333,0.196666667,1.54
2017 2Q ,113065.8,2.9,4.4,98.939,6,7.2,0.416666667,0.236666667,1.416666667
2017 1Q ,110960.6,2.1,3.2,99.038,6.5,2.8,0.366666667,0.273333333,1.313333333
2016 4Q ,113512.1,1.9,2.9,98.645,3.5,10,0.436666667,0.24,1.493333333
2016 3Q ,110168.7,1.8,2.7,98.499,0.4,-0.3,0.866666667,0.236666667,1.896666667
