,Rental_Price,Time,District,RoomType,GDP In Chained (2015) Dollars,Total Unemployment Rate,Resident Unemployment Rate,CPI/Inflation,Total Demand,Total Domestic Demand,Government Securities - 5-Year Bond Yield,Government Securities - 2-Year Bond Yield,Government Securities - 10-Year Bond Yield
0,2300.0,Q4 2022,Ang Mo Kio,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
1,2900.0,Q4 2022,Ang Mo Kio,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
2,3150.0,Q4 2022,Ang Mo Kio,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
3,2300.0,Q4 2022,Bedok,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
4,2800.0,Q4 2022,Bedok,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
5,3000.0,Q4 2022,Bedok,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
6,2600.0,Q4 2022,Bishan,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
7,3200.0,Q4 2022,Bishan,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
8,3550.0,Q4 2022,Bishan,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
9,2200.0,Q4 2022,Bukit Batok,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
10,2650.0,Q4 2022,Bukit Batok,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
11,3200.0,Q4 2022,Bukit Batok,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
12,2600.0,Q4 2022,Bukit Merah,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
13,3500.0,Q4 2022,Bukit Merah,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
14,3800.0,Q4 2022,Bukit Merah,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
15,2700.0,Q4 2022,Bukit Panjang,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
16,2850.0,Q4 2022,Bukit Panjang,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
17,3000.0,Q4 2022,Bukit Panjang,Room5,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
18,3250.0,Q4 2022,Bukit Panjang,Executive,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
19,2800.0,Q4 2022,Central,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
20,3850.0,Q4 2022,Central,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
21,2800.0,Q4 2022,Choa Chu Kang,Room3,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
22,2800.0,Q4 2022,Choa Chu Kang,Room4,132329.6,1.8,2.5,110.679,-4.1,4.6,2.92,2.81,3.056666667
